District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer
Mangalore,Black,75,50,100,6.5,1000,20,Rice,Urea
Mangalore,Black,70,35,85,7.5,750,27,Sugarcane,19:19:19 NPK
Mangalore,Black,80,60,100,6.3,850,29,Groundnut,Chilated Micronutrient
Mangalore,Black,105,70,130,6.9,950,24,Tea,SSP
Mangalore,Black,55,40,75,6,600,21,Millets,Ammonium Sulphate
Mangalore,Black,90,70,110,6.7,950,30,Cotton,18:46:00 NPK
Mangalore,Black,110,85,140,6.4,1100,26,Arecanut,DAP
Mangalore,Black,95,55,120,6.6,1000,28,Rubber,MOP
Mangalore,Black,70,45,100,6.1,800,30,Black Pepper,50:26:26 NPK
Mangalore,Black,100,75,130,5.9,1200,24,Spices,50:26:26 NPK
Mangalore,Red,60,45,90,7,800,25,Coconut,DAP
Mangalore,Red,65,50,95,7.8,700,32,Vegetables,20:20:20 NPK
Mangalore,Red,90,70,110,6.7,950,30,Cotton,18:46:00 NPK
Mangalore,Red,105,70,130,6.9,950,24,Tea,SSP
Mangalore,Red,95,65,120,6.2,850,28,Banana,SSP
Mangalore,Red,55,40,75,6,600,21,Millets,Ammonium Sulphate
Mangalore,Red,70,45,100,6.1,800,30,Black Pepper,50:26:26 NPK
Mangalore,Red,85,55,110,6.8,900,22,Coffee,MOP
Mangalore,Red,110,85,140,6.4,1100,26,Arecanut,DAP
Mangalore,Red,70,35,85,7.5,750,27,Sugarcane,19:19:19 NPK
Mangalore,Dark Brown,85,55,110,6.8,900,22,Coffee,MOP
Mangalore,Dark Brown,110,85,140,6.4,1100,26,Arecanut,DAP
Mangalore,Dark Brown,55,40,75,6,600,21,Millets,Ammonium Sulphate
Mangalore,Dark Brown,90,70,110,6.7,950,30,Cotton,18:46:00 NPK
Mangalore,Dark Brown,95,55,120,6.6,1000,28,Rubber,MOP
Mangalore,Dark Brown,75,50,100,6.5,1000,20,Rice,Urea
Mangalore,Dark Brown,100,75,130,5.9,1200,24,Spices,50:26:26 NPK
Mangalore,Dark Brown,65,50,95,7.8,700,32,Vegetables,20:20:20 NPK
Mangalore,Dark Brown,105,70,130,6.9,950,24,Tea,SSP
Mangalore,Dark Brown,80,60,100,6.3,850,29,Groundnut,Chilated Micronutrient
Mangalore,Reddish Brown,95,65,120,6.2,850,28,Banana,SSP
Mangalore,Reddish Brown,110,85,140,6.4,1100,26,Arecanut,DAP
Mangalore,Reddish Brown,65,50,95,7.8,700,32,Vegetables,20:20:20 NPK
Mangalore,Reddish Brown,95,55,120,6.6,1000,28,Rubber,MOP
Mangalore,Reddish Brown,85,55,110,6.8,900,22,Coffee,MOP
Mangalore,Reddish Brown,70,45,100,6.1,800,30,Black Pepper,50:26:26 NPK
Mangalore,Reddish Brown,100,75,130,5.9,1200,24,Spices,50:26:26 NPK
Mangalore,Reddish Brown,75,50,100,6.5,1000,20,Rice,Urea
Mangalore,Reddish Brown,105,70,130,6.9,950,24,Tea,SSP
Mangalore,Reddish Brown,70,35,85,7.5,750,27,Sugarcane,19:19:19 NPK
Mangalore,Reddish Brown,55,40,75,6,600,21,Millets,Ammonium Sulphate
Coimbatore,Black,75,50,100,6.5,1000,20,Rice,Urea
