,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
0,Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
1,Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
2,Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
3,Kolhapur,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
4,Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
5,Kolhapur,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
6,Kolhapur,Black,75,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
7,Kolhapur,Black,80,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
8,Kolhapur,Black,85,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
9,Kolhapur,Black,90,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
10,Kolhapur,Black,95,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
11,Kolhapur,Black,100,55,105,7.0,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
12,Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
13,Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
14,Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
15,Kolhapur,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
16,Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
17,Kolhapur,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
